Experiment Accession,Experiment Title,Organism Name,Instrument,Submitter,Study Accession,Study Title,Sample Accession,Sample Title,"Total Size, Mb",Total RUNs,Total Spots,Total Bases,Library Name,Library Strategy,Library Source,Library Selection,acc
SRX14772144,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532362,,9284.6,1,105252837,28555304033,LR100205,WXS,GENOMIC,Hybrid Selection,SRR18670381
SRX14772143,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532361,,1944.47,1,20047010,6054197020,LR100196,WXS,GENOMIC,Hybrid Selection,SRR18670382
SRX14772142,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532360,,2005.63,1,20739341,6263280982,LR100195,WXS,GENOMIC,Hybrid Selection,SRR18670383
SRX14772141,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532358,,2025.43,1,20939933,6323859766,LR100194,WXS,GENOMIC,Hybrid Selection,SRR18670384
SRX14772140,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532356,,1785.02,1,18490325,5584078150,LR100193,WXS,GENOMIC,Hybrid Selection,SRR18670385
SRX14772139,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532359,,4668.34,1,49556964,14966203128,LR100473,WXS,GENOMIC,Hybrid Selection,SRR18670386
SRX14772138,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532357,,5819.88,1,63343874,19129849948,LR100459,WXS,GENOMIC,Hybrid Selection,SRR18670387
SRX14772137,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532354,,5406.02,1,58469900,17657909800,LR100458,WXS,GENOMIC,Hybrid Selection,SRR18670388
SRX14772136,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532355,,8267.74,1,91362983,27591620866,LR100438,WXS,GENOMIC,Hybrid Selection,SRR18670389
SRX14772135,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532353,,8624.23,1,94832589,28639441878,LR100436,WXS,GENOMIC,Hybrid Selection,SRR18670390
